Month,raw20TsryYld,rawAAAyld,rawBBByld,raw3moBill,rawIGpctDflt,rawSGpctDflt,rawTotalpctDflt,rawIGcountDflt,rawSGcountDflt,rawCPI,rawSPX,rawIndPro,rawAnnInflRate
01/1920,4.930000,5.750000,7.780000,4.500000,0.035833,0.250833,0.102500,0.666667,2.083333,19.271776,8.830000,5.787700,0.154151
02/1920,5.050000,5.860000,7.940000,4.500000,0.035833,0.250833,0.102500,0.666667,2.083333,19.501202,8.100000,5.787700,0.188813
03/1920,5.090000,5.920000,7.970000,4.750000,0.035833,0.250833,0.102500,0.666667,2.083333,19.701949,8.670000,5.677000,0.186698
04/1920,5.280000,6.040000,8.170000,5.250000,0.035833,0.250833,0.102500,0.666667,2.083333,20.275514,8.600000,5.372400,0.198003
05/1920,5.580000,6.250000,8.390000,5.500000,0.035833,0.250833,0.102500,0.666667,2.083333,20.619653,8.060000,5.510800,0.201134
06/1920,5.540000,6.380000,8.390000,5.750000,0.035833,0.250833,0.102500,0.666667,2.083333,20.906435,7.920000,5.566200,0.211551
07/1920,5.570000,6.340000,8.520000,5.810000,0.035833,0.250833,0.102500,0.666667,2.083333,20.791722,7.910000,5.427700,0.179292
08/1920,5.670000,6.300000,8.390000,5.830000,0.035833,0.250833,0.102500,0.666667,2.083333,20.246836,7.600000,5.455400,0.136368
09/1920,5.430000,6.220000,8.140000,5.810000,0.035833,0.250833,0.102500,0.666667,2.083333,20.017410,7.870000,5.261600,0.118500
10/1920,5.080000,6.050000,7.990000,5.750000,0.035833,0.250833,0.102500,0.666667,2.083333,19.902697,7.880000,5.040000,0.096752
11/1920,5.210000,6.080000,8.210000,5.750000,0.035833,0.250833,0.102500,0.666667,2.083333,19.787984,7.480000,4.624700,0.067441
12/1920,5.400000,6.260000,8.560000,5.880000,0.035833,0.250833,0.102500,0.666667,2.083333,19.329132,6.810000,4.347700,0.022507
01/1921,5.230000,6.140000,8.500000,5.670000,0.032500,0.179167,0.089167,0.583333,2.083333,19.013672,7.110000,4.098500,-0.013483
02/1921,5.280000,6.080000,8.420000,5.300000,0.032500,0.179167,0.089167,0.583333,2.083333,18.411429,7.060000,4.015400,-0.057504
03/1921,5.270000,6.080000,8.550000,5.380000,0.032500,0.179167,0.089167,0.583333,2.083333,18.268037,6.880000,3.904600,-0.075565
04/1921,5.240000,6.060000,8.530000,5.200000,0.032500,0.179167,0.089167,0.583333,2.083333,18.038611,6.910000,3.904600,-0.116899
05/1921,5.250000,6.110000,8.520000,5.160000,0.032500,0.179167,0.089167,0.583333,2.083333,17.694473,7.120000,4.015400,-0.152992
06/1921,5.270000,6.180000,8.560000,4.990000,0.032500,0.179167,0.089167,0.583333,2.083333,17.608438,6.550000,3.987700,-0.171679
